Year,Month,Work List,Human Power (person-month),Price (CNY/person-month),Total (CNY)
2025,July,高频运维值守；多链节点升级与故障处理；K8s副本均衡与资源优化；数据库权限及告警修复；业务系统配套配置调整与小型修复支持,8,25000,200000
2025,August,高频运维值守；RETH/Lighthouse升级；流量分流与监控增强；测试K8s集群搭建；业务系统联调支持与脚本修复,10,25000,250000
2025,September,性能与稳定性优化；限流与日志治理；K8s脚本改造；问题排障与监控抓取修复；业务系统小功能支持,7,25000,175000
2025,October,GA与APISIX链路排障；生产扩容；2FA接入；TiDB前期调研；业务系统路由改造与协同修复,8.5,25000,212500
2025,November,域名证书续费；新集群部署；日志采集补充；线上流量fork验证；配合业务系统上线与问题修复,7.5,25000,187500
2025,December,Redis备份策略调整；监控体系优化；K8s扩容；升级协同处置；业务系统运行问题处理与小型开发支持,11,25000,275000
2026,January,证书与路由改造；高负载故障联合排查；新集群扩容；监控告警完善；业务系统专项修复与性能支持,13,25000,325000
2026,February,节点升级与迁移；APISIX限频问题修复；Solana测试环境搭建；生产链路调整；业务系统联调支持,6.5,25000,162500
2026,March,TiDB相关支持；告警规则调整；监控补充；代理链路排障；业务系统优化与兼容性修复支持,8,25000,200000
2026,April,常规运维值守；版本升级与故障响应；集群与链节点稳定性维护；业务系统修复与支持,7,25000,175000
2026,May,常规运维值守；中小专项支持；配置改造与问题修复；协同开发处理线上问题,4.5,25000,112500
2026,June,常规运维值守；多项并行专项支持；系统优化、问题修复与上线保障,8.5,25000,212500
TOTAL,,发生月人力合计,99.5,,2487500
